video_name,frame_idx,caption
Stop (blurry),95,determine,The pedestrian is making a gesture with his hands.
Stop (blurry),95,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has short hair and is standing in front of a plain, light-colored background. His arms are extended forward with his palms facing outward, as if he is trying to stop something or someone from coming closer. The motion appears to be slow and deliberate, suggesting caution or hesitation."
Stop (blurry),95,context,The pedestrian is making a stop gesture.
Stop (blurry),95,objective,The pedestrian is making a stop gesture.
Stop (blurry),103,blank,The man is standing in front of a white wall.
Stop (blurry),103,determine,The pedestrian is making a stop gesture with his hand.
Stop (blurry),103,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain gray background. His right arm is extended forward with his palm facing outward, while his left hand is slightly raised with the palm down. The man appears to be stationary and not moving."
Stop (blurry),103,context,The pedestrian is making a stop gesture.
Stop (blurry),103,objective,The pedestrian is making a stop gesture.
Stop (blurry),111,blank,"A man is standing in front of a white wall, moving his hands back and forth."
Stop (blurry),111,determine,The pedestrian is making a stop gesture with his hand.
Stop (blurry),111,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain gray background. His arms are extended outward, with his palms facing forward. The motion appears to be slow and deliberate as he moves his hands slightly from side to side while maintaining the overall position."
Stop (blurry),111,context,The pedestrian is making a stop gesture.
Stop (blurry),111,objective,The pedestrian is making a stop gesture.
Go left,89,blank,The man is moving his hands in a circular motion.
Go left,89,determine,The pedestrian is making a gesture with his hands.
Go left,89,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands still at first, then begins to move his arms in a rhythmic motion. His movements are fluid and continuous, with his hands moving up and down in front of him. The background is plain and gray, providing a neutral backdrop for the man's actions."
Go left,89,context,"The pedestrian is making a gesture with their hands, possibly indicating they want to cross the road."
Go left,89,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Go left,97,blank,A man in a black shirt is standing and moving his hands around.
Go left,97,determine,The pedestrian is making a gesture with his hands.
Go left,97,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He is standing in front of a plain background, possibly a wall or screen. His arms are extended forward with his hands open, as if he is reaching out to catch something. The motion appears to be slow and deliberate, suggesting that he might be performing an action like catching a ball or gesturing during a presentation."
Go left,97,context,"The pedestrian is making a gesture with their hands, moving them in front of their body."
Go left,97,objective,"The pedestrian is making a gesture with their hands, possibly indicating they want to cross the road."
Go left,105,blank,A man in a black shirt and glasses is dancing.
Go left,105,determine,The pedestrian is making a gesture with his hand.
Go left,105,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, possibly a wall or curtain. His body posture suggests he is engaged in some form of physical activity, likely dancing or performing martial arts moves. The man's arms are extended outward with his right arm slightly bent at the elbow and his left arm more straightened. Both hands appear to be making fluid motions, as if reaching out or pushing something away."
Go left,105,context,"The pedestrian is making a gesture with their right hand, extending it forward and slightly to the side."
Go left,105,objective,The pedestrian is making a stop gesture.
Go left,113,blank,A man in a black shirt is moving his arms back and forth.
Go left,113,determine,The pedestrian is making a gesture with his hands.
Go left,113,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain, light-colored background. His arms are extended outward with his palms facing forward. The motion appears to be slow and deliberate, as if he is reaching out or gesturing towards something."
Go left,113,context,"The pedestrian is making a gesture with their right arm extended forward, palm facing outward."
Go left,113,objective,"The pedestrian is making a gesture with their right arm extended forward, palm facing outward. This could indicate they are signaling to stop or yield."
Go left,121,blank,A man in a black shirt is standing and moving his arms around.
Go left,121,determine,The pedestrian is making a gesture with his hand.
Go left,121,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His right arm is extended forward with his hand open, while his left arm moves slightly behind him. The motion appears to be slow and deliberate, as if he is gesturing or pointing at something."
Go left,121,context,"The pedestrian is making a gesture with their hand, possibly indicating they want to cross the road."
Go left,121,objective,The pedestrian is making a stop gesture.
Go left,129,blank,A man in a black shirt and glasses is standing with his arms outstretched.
Go left,129,determine,The pedestrian is pointing with his right hand.
Go left,129,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His right arm is extended forward, pointing directly at the camera with his index finger. The left arm extends out to the side, parallel to his body. Both arms are straight and appear to be holding something small, possibly a pen or a similar object."
Go left,129,context,"The pedestrian is extending their arm forward, indicating a stop or halt gesture."
Go left,129,objective,"The pedestrian is pointing forward with their right hand, indicating they are directing traffic or signaling a specific direction."
Go left,137,blank,A man in a black shirt and glasses is dancing.
Go left,137,determine,The pedestrian is making a gesture with his hand.
Go left,137,bodyanalysis,"The pedestrian is a man wearing glasses and dressed in a black long-sleeved shirt. He stands with his right arm extended forward, palm facing down, while his left arm is bent at the elbow with the hand near his chest. His body leans slightly to the side, creating an expressive pose that conveys motion or direction."
Go left,137,context,"The pedestrian is extending their arm, which could indicate a stop or caution signal."
Go left,137,objective,"The pedestrian is making a gesture with his right arm extended forward, palm facing outward. This could indicate that he is signaling for the vehicle to stop or proceed with caution."
Go left,145,blank,The man is moving his arms in a circular motion.
Go left,145,determine,"The pedestrian is extending his right arm forward and moving it in a circular motion, as if he is trying to catch something or reach for an object."
Go left,145,bodyanalysis,"The pedestrian is a man wearing glasses and dressed in a black long-sleeved shirt. He stands with his right arm extended forward, palm facing outward, while his left arm is bent at the elbow with the hand near his chest. His body leans slightly to the side, creating an expressive pose that suggests he might be gesturing or emphasizing something. The background features a plain white wall, highlighting his focused stance as he engages in this deliberate action."
Go left,145,context,"The pedestrian is extending their right arm forward, which could indicate a stop or caution signal."
Go left,145,objective,"The pedestrian is extending their right arm forward, which could indicate a stop or caution signal."
Go left,153,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt. He extends his right arm forward with an open hand while keeping his left arm extended to the side. His body remains mostly still as he maintains this pose throughout the video."
Go left,153,determine,The pedestrian is making a gesture with his hand.
Go left,153,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His right arm is extended forward with his hand open, while his left arm remains bent at the elbow with the hand close to his body. The man appears to be stationary and not moving."
Go left,153,context,"The pedestrian is making a gesture with their right hand, extending it forward and slightly to the side."
Go left,153,objective,"The pedestrian is extending their right arm forward, which could indicate a stop or caution signal."
Go left,161,blank,A man is dancing in front of a white wall.
Go left,161,determine,The pedestrian is making a gesture with his hand.
Go left,161,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His arms are extended out to the sides, with his right arm pointing forward and his left arm slightly bent at the elbow. The man appears to be gesturing or demonstrating something, possibly related to dance or movement."
Go left,161,context,"The pedestrian is making a gesture with their right hand, extending it forward and slightly to the side."
Go left,161,objective,"The pedestrian is making a gesture with his right hand, pointing forward."
Go left,169,blank,"The man is moving his hands and arms in a rhythmic manner, suggesting he might be dancing or performing some form of expressive movement."
Go left,169,determine,The pedestrian is making a gesture with his hands.
Go left,169,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His arms are moving rhythmically, with his hands occasionally touching each other or gesturing outward. The motion appears to be fluid and continuous, suggesting he might be dancing or performing some form of expressive movement."
Go left,169,context,"The pedestrian is making a gesture with their hands, possibly indicating they want to cross the road."
Go left,169,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Go left,177,blank,A man in a black shirt is moving his arms and hands around.
Go left,177,determine,The pedestrian is making a gesture with his hands.
Go left,177,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain, light-colored background. His arms are extended outward with his hands open, as if he is gesturing or presenting something. The motion of his arms appears to be fluid and continuous, suggesting that he might be explaining or demonstrating something related to the topic at hand."
Go left,177,context,"The pedestrian is making a gesture with his hands, indicating he wants to cross the road."
Go left,177,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Go left,185,blank,The man is moving his arms in a circular motion.
Go left,185,determine,The pedestrian is making a gesture with his right hand.
Go left,185,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, with his arms extended outward to the sides at shoulder height. His hands are open and slightly curled, as if he is reaching for something or gesturing. The motion appears to be slow and deliberate, suggesting a focused and controlled movement."
Go left,185,context,"The pedestrian is making a gesture with their right hand, extending it outward and slightly upward."
Go left,185,objective,"The pedestrian is making a gesture with their right arm extended outward, palm facing forward. This could indicate they are signaling to stop or yield."
Go left,193,blank,A man in a black shirt is standing with his arms outstretched.
Go left,193,determine,The pedestrian is making a gesture with his hands.
Go left,193,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, with his arms extended out to the sides at shoulder height. His right arm is slightly bent at the elbow, while his left arm remains straight. The man appears to be holding an object between his hands, which are positioned close together."
Go left,193,context,"The pedestrian is making a gesture with their right arm extended outward, palm facing forward. This could indicate they are signaling to stop or yield while crossing the road."
Go left,193,objective,"The pedestrian is extending his right arm forward, palm facing outward. This gesture typically indicates a stop or caution signal in traffic contexts."
Go left,201,blank,The man is standing in front of a white wall.
Go left,201,determine,The pedestrian is making a gesture with his hands.
Go left,201,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, possibly a wall or screen. His arms are extended outward with his palms facing forward, as if he is reaching out to someone or something. The motion appears to be slow and deliberate, suggesting that he might be demonstrating or explaining something related to the topic at hand."
Go left,201,context,"The pedestrian is making a gesture with their hand, possibly indicating they want to cross the road."
Go left,201,objective,"The pedestrian is making a gesture with their right hand, extending it outward. This could indicate they are signaling to stop or slow down the vehicle."
Stop + drive,87,blank,"A man is standing in front of a white wall, moving his arms and hands around."
Stop + drive,87,determine,The pedestrian is waving his hand.
Stop + drive,87,bodyanalysis,"The pedestrian is walking towards the camera, his short light brown hair and glasses visible as he moves. Dressed in a dark long-sleeved shirt featuring a red graphic design on the front, he extends his right arm forward with an open hand before retracting it back to his side while continuing to walk."
Stop + drive,87,context,"The pedestrian is waving their hand, which could indicate a greeting or an attempt to signal the vehicle."
Stop + drive,87,objective,The pedestrian is making a stop gesture.
Stop + drive,95,blank,"A man in a black shirt and glasses is standing against a white wall. He extends his right arm towards the camera, holding it out for several seconds before retracting it back to its original position."
Stop + drive,95,determine,The pedestrian is making a stop gesture.
Stop + drive,95,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands still with his right arm extended forward, palm facing outward in a stopping gesture. His left hand hangs by his side."
Stop + drive,95,context,The pedestrian is making a stop gesture.
Stop + drive,95,objective,The pedestrian is making a stop gesture.
Stop + drive,103,blank,"A man in a black shirt and glasses is standing against a white wall. He raises his right hand with the palm facing forward, as if signaling ""stop"" or indicating something to be held up."
Stop + drive,103,determine,The pedestrian is making a stop gesture.
Stop + drive,103,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white wall, facing the camera with his right arm extended forward, palm open and fingers spread apart as if signaling ""stop"" or ""wait."" His left hand is relaxed by his side. The man remains stationary throughout the video, maintaining this posture without any significant movement."
Stop + drive,103,context,The pedestrian is making a stop gesture.
Stop + drive,103,objective,stop
Stop + drive,111,blank,"A man wearing glasses and a black shirt is standing in front of a white wall. He has his right arm extended with his palm facing forward, as if he is pushing something away or signaling to stop. His left hand is slightly raised and bent at the elbow."
Stop + drive,111,determine,The pedestrian is making a stop gesture.
Stop + drive,111,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands still with his right arm extended forward, palm facing outward in a stop gesture. His left hand hangs by his side. The background is plain white."
Stop + drive,111,context,The pedestrian is making a stop gesture.
Stop + drive,111,objective,The pedestrian is making a stop gesture.
Stop + drive,119,blank,A man in a black shirt and glasses is standing with his arms outstretched.
Stop + drive,119,determine,The pedestrian is making a stop gesture.
Stop + drive,119,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a white wall, with his right arm extended forward at shoulder height, palm facing outward as if signaling ""stop."" His left hand hangs by his side. Throughout the video, he maintains this posture without any significant movement or change in position."
Stop + drive,119,context,The pedestrian is making a stop gesture.
Stop + drive,119,objective,The pedestrian is signaling to stop.
Stop + drive,127,blank,A man in a black shirt and glasses is standing with his arms outstretched.
Stop + drive,127,determine,The pedestrian is making a stop gesture.
Stop + drive,127,bodyanalysis,"The pedestrian is standing still, facing the camera. He has his right arm extended forward with his index finger pointing to the left side of the frame. His left hand is raised in front of him with all fingers spread out."
Stop + drive,127,context,The pedestrian is making a stop gesture.
Stop + drive,127,objective,The pedestrian is making a stop gesture.
Stop + drive,135,blank,"A man in a black shirt and glasses is standing with his arms outstretched, moving them back and forth."
Stop + drive,135,determine,The pedestrian is making a stop sign with his hand.
Stop + drive,135,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a white background, with his right arm extended forward and his left hand raised with the palm facing outward. His body posture suggests he might be gesturing or signaling something."
Stop + drive,135,context,The pedestrian is making a stop gesture.
Stop + drive,135,objective,The pedestrian is making a stop gesture.
Stop + drive,143,blank,A man in a black shirt and glasses is standing with his arms outstretched.
Stop + drive,143,determine,The pedestrian is making a gesture with his hand.
Stop + drive,143,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a white wall, with his right arm extended forward pointing to the left side of the frame. His left hand is raised with fingers spread out, as if he is signaling or directing attention. The man appears to be stationary, maintaining this posture throughout the video."
Stop + drive,143,context,The pedestrian is making a stop gesture.
Stop + drive,143,objective,The pedestrian is making a stop gesture.
Stop + drive,151,blank,The man is pointing with his right hand and holding up a stop sign with the other.
Stop + drive,151,determine,The pedestrian is making a stop gesture.
Stop + drive,151,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a plain white background, with his right arm extended forward at shoulder height, pointing towards the left side of the frame. His left hand is held up in a stopping gesture, palm facing outward. The man's body posture remains static throughout the video."
Stop + drive,151,context,The pedestrian is making a stop gesture.
Stop + drive,151,objective,The pedestrian is making a stop gesture.
Stop + drive,159,blank,A man in a black shirt is standing with his arms outstretched.
Stop + drive,159,determine,The pedestrian is making a stop gesture.
Stop + drive,159,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a white wall, with his right arm extended forward and his left hand raised with the palm facing outward. His body posture suggests he might be gesturing or signaling to someone off-camera."
Stop + drive,159,context,The pedestrian is making a stop gesture.
Stop + drive,159,objective,The pedestrian is making a stop gesture.
Stop + drive,167,blank,A man in a black shirt is standing with his arms outstretched.
Stop + drive,167,determine,The pedestrian is making a stop gesture.
Stop + drive,167,bodyanalysis,"The pedestrian is standing still, facing the camera. He has short brown hair and wears glasses along with a black long-sleeved shirt. His right arm extends outward while his left hand remains raised in front of him, palm open as if gesturing or signaling to someone off-camera."
Stop + drive,167,context,The pedestrian is making a stop gesture.
Stop + drive,167,objective,The pedestrian is making a stop gesture.
Follow,36,blank,The man is walking forward and waving his right hand.
Follow,36,determine,The pedestrian is making a waving gesture.
Follow,36,bodyanalysis,"The pedestrian is walking steadily towards the camera, his short light brown hair and beard visible as he moves. Dressed in a black long-sleeved shirt and wearing glasses, he maintains a consistent pace while looking straight ahead against a plain white background."
Follow,36,context,The pedestrian is waving their hand.
Follow,36,objective,"The pedestrian is waving their hand, indicating they want to cross the road."
Follow,44,blank,A man in a black shirt is standing and waving his hand.
Follow,44,determine,The pedestrian is making a stop gesture.
Follow,44,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored shirt. He is standing in front of a plain, light-colored background. His right arm is extended forward with his hand open, as if he is gesturing or reaching out to something. The motion appears to be slow and deliberate, suggesting that he might be emphasizing a point or directing attention to an object or person off-camera."
Follow,44,context,The pedestrian is making a stop gesture.
Follow,44,objective,The pedestrian is making a stop gesture.
Follow,52,blank,A man in a black shirt is standing on stage and waving his hand.
Follow,52,determine,The pedestrian is making a gesture with his hand.
Follow,52,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored shirt. He is standing in front of a plain background, possibly on a stage or presentation area. His right arm is extended forward with his hand open, as if he is gesturing or presenting something to an audience. The motion appears to be slow and deliberate, suggesting that he might be emphasizing a point during a speech or demonstration."
Follow,52,context,The pedestrian is waving their hand.
Follow,52,objective,The pedestrian is making a stop gesture.
Follow,60,blank,A man in a black shirt is standing on stage and waving his hand.
Follow,60,determine,The pedestrian is making a waving gesture with his hand.
Follow,60,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, possibly a wall or screen. His right arm is raised with his hand open, as if he is gesturing or pointing towards something off-camera. The motion appears to be slow and deliberate, suggesting that he might be explaining or emphasizing a point."
Follow,60,context,The pedestrian is making a stop gesture.
Follow,60,objective,The pedestrian is making a stop gesture.
Reverse,79,blank,The man is walking in place.
Reverse,79,determine,The pedestrian is making a gesture with his hands.
Reverse,79,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is walking forward with his arms slightly bent at the elbows, moving in a steady pace. His body posture is upright, and he appears to be focused on his path."
Reverse,79,context,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Reverse,79,objective,The pedestrian is making a stop gesture.
Reverse,87,blank,"A man is standing in front of a white wall, moving his hands up and down."
Reverse,87,determine,The pedestrian is making a gesture with his hands.
Reverse,87,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a plain white background, facing the camera with his hands raised slightly above waist level. His fingers are spread apart as he moves them fluidly from side to side, creating an expressive gesture that suggests communication or emphasis on something being said. The movements are continuous and rhythmic, maintaining eye contact with the viewer throughout the video."
Reverse,87,context,The pedestrian is making a stop gesture.
Reverse,87,objective,The pedestrian is making a stop gesture.
Reverse,95,blank,A man in a black shirt is standing with his hands up and fingers spread.
Reverse,95,determine,The pedestrian is making a gesture with his hands.
Reverse,95,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He stands in front of a plain background, with his arms extended outward at shoulder height. His hands are open and slightly spread apart, as if he is gesturing or presenting something. The motion of his hands appears to be slow and deliberate, moving back and forth in a fluid manner."
Reverse,95,context,The pedestrian is making a stop gesture.
Reverse,95,objective,The pedestrian is making a stop gesture.
Reverse,103,blank,A man in a black shirt is standing with his hands up and fingers spread.
Reverse,103,determine,The pedestrian is making a stop gesture.
Reverse,103,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He is standing in front of a plain, light-colored background. His hands are raised with fingers spread apart, as if he is gesturing or explaining something. The motion of his hands appears to be fluid and continuous, suggesting that he might be speaking or presenting."
Reverse,103,context,The pedestrian is making a stop gesture.
Reverse,103,objective,The pedestrian is making a stop gesture.
Reverse,111,blank,"A man is standing in front of a white wall, juggling three cards."
Reverse,111,determine,The pedestrian is making a stop gesture with his hands.
Reverse,111,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He is standing in front of a plain background, with his arms extended forward and palms facing outward. His hands are moving slightly up and down as if he is gesturing or explaining something."
Reverse,111,context,The pedestrian is making a stop gesture.
Reverse,111,objective,The pedestrian is making a stop gesture.
